source_page,asset_url,generated_at_utc
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/calendario/dados_calendario.xlsx,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_1997_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_1998_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_1999_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_2000_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_2001_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_2002_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_2003_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_2004_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_2005_MUN.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/mun/EXP_2006_MUN.csv,2026-05-14T01:33:44.444273+00:00
